"Source Title";"Scopus Source ID";"SJR";"p_issn";"e_issn";"Top 10%";"10% - 35%";"35% - 60%";"60% - 80%";"Bottom 20%"
"Operations Research";22238;3,539;"0030364X";"15265463";3;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Operations Research Letters";22202;0,702;"01676377";0;"NO Top 10%";32;3;0;"NO Bottom 20%"
"Operations Research Perspectives";21100379294;1,053;"22147160";"22147160";"NO Top 10%";3;0;"NO 60% - 80%";"NO Bottom 20%"
"Operations Research for Health Care";21100202150;0,934;"22116923";0;"NO Top 10%";4;1;0;"NO Bottom 20%"
"Operations and Supply Chain Management";21100886537;0,189;"19793561";"25799363";"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";15;0
"Operations-Research-Spektrum";56494;1,081;"01716468";"14366304";"NO Top 10%";2;0;"NO 60% - 80%";"NO Bottom 20%"
"Optimization";27989;0,824;"02331934";"10294945";"NO Top 10%";6;1;0;"NO Bottom 20%"
"Optimization Letters";5800228220;0,735;"18624472";"18624480";"NO Top 10%";13;2;0;"NO Bottom 20%"
"Optimization Methods and Software";28538;0,792;"10556788";"10294937";"NO Top 10%";7;2;0;"NO Bottom 20%"
"Optimization and Engineering";130117;0,558;"13894420";"15732924";"NO Top 10%";"NO 10% - 35%";7;1;0
"Pakistan Journal of Statistics and Operation Research";21100200822;0,376;"18162711";"22205810";"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";2;0
"Pesquisa Operacional";5000153602;0,256;"01017438";"16785142";"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";6;0
"Positivity";25809;0,694;"13851292";"15729281";"NO Top 10%";77;3;0;"NO Bottom 20%"
"Probability in the Engineering and Informational Sciences";15810;0,361;"02699648";"14698951";"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";2;0
"Public Transport";19600161828;0,639;"1866749X";"16137159";"NO Top 10%";"NO 10% - 35%";3;0;"NO Bottom 20%"
"Queueing Systems";19124;0,745;"02570130";"15729443";"NO Top 10%";11;2;0;"NO Bottom 20%"
"RAIRO - Operations Research";12991;0,334;"03990559";"12903868";"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";3;0
"SIAM Journal on Control and Optimization";26405;1,39;"03630129";"10957138";8;1;0;"NO 60% - 80%";"NO Bottom 20%"
"SIAM Journal on Discrete Mathematics";26406;0,92;"08954801";"10957146";"NO Top 10%";4;1;0;"NO Bottom 20%"
"SIAM Journal on Optimization";26422;2,72;"10526234";"10957189";4;1;0;"NO 60% - 80%";"NO Bottom 20%"
"SORT";14054;0,475;"16962281";"20138830";"NO Top 10%";"NO 10% - 35%";21;2;0
"Service Science";21100830431;0,619;"21643962";"21643970";"NO Top 10%";"NO 10% - 35%";4;0;"NO Bottom 20%"
"Soft Computing";28554;0,705;"14327643";"14337479";"NO Top 10%";24;2;0;"NO Bottom 20%"
"Statistics, Optimization and Information Computing";21100464776;0,279;"2311004X";"23105070";"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";5;0
"Structural and Multidisciplinary Optimization";18661;1,637;"1615147X";"16151488";7;1;0;"NO 60% - 80%";"NO Bottom 20%"
"TOP";11700154400;0,542;"11345764";"18638279";"NO Top 10%";"NO 10% - 35%";9;1;0
"Theoretical Computer Science";20571;0,57;"03043975";0;"NO Top 10%";"NO 10% - 35%";6;1;0
"Theory and Applications of Graphs";21100897776;0,149;0;"24709859";"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";"NO 60% - 80%";0
"Transactions on Education";21100894767;0,157;0;"15320545";"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";"NO 60% - 80%";0
"Transportation Research Part C: Emerging Technologies";20893;3,342;"0968090X";0;3;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Transportation Research, Part E: Logistics and Transportation Review";20909;2,302;"13665545";0;5;1;0;"NO 60% - 80%";"NO Bottom 20%"
"Transportation Research, Series B: Methodological";20892;2,895;"01912615";0;4;1;0;"NO 60% - 80%";"NO Bottom 20%"
"Transportation Science";20910;2,8;"00411655";"15265447";4;1;0;"NO 60% - 80%";"NO Bottom 20%"
"Turkish World Mathematical Society Journal of Applied and Engineering Mathematics";21100870373;0,164;"21461147";"25871013";"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";34;0
"Uncertain Supply Chain Management";21100806906;0,415;"22916822";"22916830";"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";2;0
"Yugoslav Journal of Operations Research";23492;0,198;"03540243";"23346043";"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";9;0
