"Source Title";"Scopus Source ID";"MCQ";"p_issn";"e_issn";"Top 10%";"10% - 35%";"35% - 60%";"60% - 80%";"Bottom 20%"
"Georgian Mathematical Journal";6100152706;0,237226277372263;"15729176";;"NO Top 10%";"NO 10% - 35%";9;1;0
"Glasgow Mathematical Journal";26585;0,502164502164502;"00170895";;"NO Top 10%";7;1;0;"NO Bottom 20%"
"Glasnik Matematicki";4700152292;0,347222222222222;"0017095X";;"NO Top 10%";"NO 10% - 35%";2;0;"NO Bottom 20%"
"Graphs and Combinatorics";28476;0,416781292984869;"09110119";;"NO Top 10%";"NO 10% - 35%";1;0;"NO Bottom 20%"
"Groups, Geometry, and Dynamics";17800156748;0,790178571428571;"16617207";;"NO Top 10%";1;0;"NO 60% - 80%";"NO Bottom 20%"
"Hacettepe Journal of Mathematics and Statistics";19400157155;0,164075993091537;"13035010";;"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";2;0
"Hiroshima Mathematical Journal";19300156905;0,276595744680851;"00182079";;"NO Top 10%";"NO 10% - 35%";4;1;0
"Hokkaido Mathematical Journal";19900193823;0,28448275862069;"03854035";;"NO Top 10%";"NO 10% - 35%";4;1;0
"Homology, Homotopy and Applications";145269;0,575916230366492;"15320073";;"NO Top 10%";2;0;"NO 60% - 80%";"NO Bottom 20%"
"Houston Journal of Mathematics";23131;0,363636363636364;"03621588";;"NO Top 10%";"NO 10% - 35%";2;0;"NO Bottom 20%"
"Illinois Journal of Mathematics";23172;0,581632653061224;"00192082";;"NO Top 10%";2;0;"NO 60% - 80%";"NO Bottom 20%"
"Indagationes Mathematicae";23176;0,575903614457831;"00193577";;"NO Top 10%";2;0;"NO 60% - 80%";"NO Bottom 20%"
"Indian Journal of Mathematics";21100235837;0,125;"00195324";;"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";3;0
"Indian Journal of Pure and Applied Mathematics";23178;0,283464566929134;"00195588";;"NO Top 10%";"NO 10% - 35%";4;1;0
"Indiana University Mathematics Journal";23194;1,36516853932584;"00222518";;2;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"International Journal of Algebra and Computation";23230;0,538461538461538;"02181967";;"NO Top 10%";4;0;"NO 60% - 80%";"NO Bottom 20%"
"International Journal of Computational Geometry and Applications";28477;0,238095238095238;"02181959";;"NO Top 10%";"NO 10% - 35%";8;1;0
"International Journal of Geometric Methods in Modern Physics";4700152702;0,15;"02198878";;"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";2;0
"International Journal of Mathematics";23244;0,620355411954766;"0129167X";;"NO Top 10%";2;0;"NO 60% - 80%";"NO Bottom 20%"
"International Journal of Mathematics and Mathematical Sciences";130103;0,0837209302325581;"01611712";;"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";6;0
"International Mathematics Research Notices";23261;1,19302152932443;"10737928";;2;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Inventiones Mathematicae";23262;3,58953168044077;"00209910";;1;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Iranian Journal of Mathematical Sciences and Informatics";21100198728;0,116071428571429;"17354463";;"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";4;0
"Israel Journal of Mathematics";23270;0,830073349633252;"00212172";;10;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Izvestiya Mathematics";23294;0,587755102040816;"10645632";;"NO Top 10%";2;0;"NO 60% - 80%";"NO Bottom 20%"
"Japanese Journal of Mathematics";4700152846;1,29032258064516;"02892316";;2;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Journal de Theorie des Nombres de Bordeaux";19900192727;0,327014218009479;"12467405";;"NO Top 10%";"NO 10% - 35%";3;0;"NO Bottom 20%"
"Journal de l'Ecole Polytechnique - Mathematiques";21100838810;1,39285714285714;"24297100";;2;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Journal des Mathematiques Pures et Appliquees";23795;2,21739130434783;"00217824";;1;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Journal for Geometry and Graphics";12700154701;0,0980392156862745;"14338157";;"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";4;0
"Journal fur die Reine und Angewandte Mathematik";23796;1,53012048192771;"00754102";;1;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Journal of Algebra";23814;0,74296205630355;"00218693";;"NO Top 10%";1;0;"NO 60% - 80%";"NO Bottom 20%"
"Journal of Algebra and its Applications";11800154589;0,482625482625483;"02194988";;"NO Top 10%";12;1;0;"NO Bottom 20%"
"Journal of Algebraic Combinatorics";23816;0,771883289124668;"09259899";;"NO Top 10%";1;0;"NO 60% - 80%";"NO Bottom 20%"
"Journal of Algebraic Geometry";23819;1,79;"10563911";;1;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Journal of Combinatorial Designs";94148;0,656804733727811;"10638539";;"NO Top 10%";1;0;"NO 60% - 80%";"NO Bottom 20%"
"Journal of Combinatorial Mathematics and Combinatorial Computing";19700186819;0,125;"08353026";;"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";3;0
"Journal of Combinatorial Theory - Series A";40107;1,12962962962963;"00973165";;2;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Journal of Combinatorial Theory. Series B";23844;1,28228228228228;"00958956";;2;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Journal of Commutative Algebra";21100228023;0,401408450704225;"19390807";;"NO Top 10%";"NO 10% - 35%";1;0;"NO Bottom 20%"
"Journal of Differential Geometry";23876;2,24663677130045;"0022040X";;1;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Journal of Fixed Point Theory and Applications";5700165174;0,900423728813559;"16617738";;4;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Journal of Fractal Geometry";21100935003;0,909090909090909;"23081309";;4;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Journal of Geometric Analysis";23896;0,996845425867508;"10506926";;3;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Journal of Geometry";145690;0,183206106870229;"00472468";;"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";2;0
"Journal of Geometry and Physics";23897;0,590384615384615;"03930440";;"NO Top 10%";2;0;"NO 60% - 80%";"NO Bottom 20%"
"Journal of Geometry and Symmetry in Physics";21100223526;0,155555555555555;"13125192";;"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";2;0
"Journal of Graph Algorithms and Applications";28347;0,466666666666667;"15261719";;"NO Top 10%";"NO 10% - 35%";1;0;"NO Bottom 20%"
"Journal of Graph Theory";23898;0,883928571428571;"03649024";;5;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Journal of Group Theory";23910;0,539007092198582;"14335883";;"NO Top 10%";4;0;"NO 60% - 80%";"NO Bottom 20%"
"Journal of Homotopy and Related Structures";21100211731;0,556179775280899;"21938407";;"NO Top 10%";3;0;"NO 60% - 80%";"NO Bottom 20%"
"Journal of Integer Sequences";23914;0,329081632653061;"15307638";;"NO Top 10%";"NO 10% - 35%";3;0;"NO Bottom 20%"
"Journal of Knot Theory and its Ramifications";23921;0,42015503875969;"02182165";;"NO Top 10%";"NO 10% - 35%";1;0;"NO Bottom 20%"
"Journal of Lie Theory";23933;0,397058823529412;"09495932";;"NO Top 10%";"NO 10% - 35%";2;0;"NO Bottom 20%"
"Journal of Mathematical Physics, Analysis, Geometry";21100255536;0,205607476635514;"18129471";;"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";2;0
"Journal of Mathematical Sciences (Japan)";21100203913;0,586666666666667;"13405705";;"NO Top 10%";2;0;"NO 60% - 80%";"NO Bottom 20%"
"Journal of Noncommutative Geometry";17800156749;0,761904761904762;"16616952";;"NO Top 10%";1;0;"NO 60% - 80%";"NO Bottom 20%"
"Journal of Nonlinear and Convex Analysis";21100286801;0,561132561132561;"13454773";;"NO Top 10%";3;0;"NO 60% - 80%";"NO Bottom 20%"
"Journal of Pure and Applied Algebra";23968;0,745714285714286;"00224049";;"NO Top 10%";1;0;"NO 60% - 80%";"NO Bottom 20%"
"Journal of Singularities";21100203314;0,393939393939394;"19492006";;"NO Top 10%";"NO 10% - 35%";2;0;"NO Bottom 20%"
"Journal of Symbolic Computation";28503;0,582172701949861;"07477171";;"NO Top 10%";2;0;"NO 60% - 80%";"NO Bottom 20%"
"Journal of Symplectic Geometry";19200156910;0,832258064516129;"15275256";;9;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Journal of Topology";19900192175;1,7979274611399;"17538416";;1;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Journal of Topology and Analysis";21100198447;0,78030303030303;"17935253";;"NO Top 10%";1;0;"NO 60% - 80%";"NO Bottom 20%"
"Journal of the American Mathematical Society";24668;5,22480620155039;"08940347";;1;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Journal of the Australian Mathematical Society";25255;0,643776824034335;"14467887";;"NO Top 10%";2;0;"NO 60% - 80%";"NO Bottom 20%"
"Journal of the European Mathematical Society";26447;2,28712871287129;"14359855";;1;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Journal of the Indian Mathematical Society";21100259506;0,065359477124183;"00195839";;"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";7;0
"Journal of the Institute of Mathematics of Jussieu";5800228226;1,08461538461538;"14747480";;2;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Journal of the Korean Mathematical Society";145254;0,413875598086124;"03049914";;"NO Top 10%";"NO 10% - 35%";1;0;"NO Bottom 20%"
"Journal of the London Mathematical Society";24483;1,21641791044776;"00246107";;2;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Journal of the Mathematical Society of Japan";25058;0,801857585139319;"00255645";;"NO Top 10%";1;0;"NO 60% - 80%";"NO Bottom 20%"
"Journal of the Ramanujan Mathematical Society";21100297612;0,271186440677966;"09701249";;"NO Top 10%";"NO 10% - 35%";4;1;0
"Kodai Mathematical Journal";19700176234;0,369458128078818;"03865991";;"NO Top 10%";"NO 10% - 35%";2;0;"NO Bottom 20%"
"Kragujevac Journal of Mathematics";21100199782;0,211678832116788;"14509628";;"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";1;0
"Kyoto Journal of Mathematics";24453;0,66875;"21562261";;"NO Top 10%";1;0;"NO 60% - 80%";"NO Bottom 20%"
"Kyungpook Mathematical Journal";7700153223;0,0988700564971751;"12256951";;"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";4;0
"Kyushu Journal of Mathematics";7500153108;0,364406779661017;"13406116";;"NO Top 10%";"NO 10% - 35%";2;0;"NO Bottom 20%"
"Letters in Mathematical Physics";28663;0,840807174887892;"03779017";;6;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Linear Algebra and Its Applications";24475;0,76668101592768;"00243795";;"NO Top 10%";1;0;"NO 60% - 80%";"NO Bottom 20%"
"Linear and Multilinear Algebra";24476;0,742562929061785;"03081087";;"NO Top 10%";1;0;"NO 60% - 80%";"NO Bottom 20%"
"Lithuanian Mathematical Journal";24478;0,201030927835051;"03631672";;"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";2;0
"Lobachevskii Journal of Mathematics";24479;0,154135338345865;"19950802";;"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";2;0
"Manuscripta Mathematica";24490;0,574358974358974;"00252611";;"NO Top 10%";2;0;"NO 60% - 80%";"NO Bottom 20%"
"Matematica, Cultura e Societa";21100904887;0;"2499751X";;"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";"NO 60% - 80%";0
"Matematiche";21100846307;0,189024390243902;"03733505";;"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";2;0
"Matematicki Vesnik";145255;0,167664670658683;"00255165";;"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";2;0
"Mathematica";18300156725;0,04;"12229016";;"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";24;0
"Mathematica Bohemica";19900192004;0,21978021978022;"08627959";;"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";1;0
"Mathematica Scandinavica";24552;0,545977011494253;"00255521";;"NO Top 10%";3;0;"NO 60% - 80%";"NO Bottom 20%"
"Mathematica Slovaca";11900154311;0,267326732673267;"01399918";;"NO Top 10%";"NO 10% - 35%";4;1;0
"Mathematical Communications";19500157817;0,258333333333333;"13310623";;"NO Top 10%";"NO 10% - 35%";5;1;0
"Mathematical Notes";96933;0,331061343719572;"00014346";;"NO Top 10%";"NO 10% - 35%";2;0;"NO Bottom 20%"
"Mathematical Proceedings of the Cambridge Philosophical Society";25325;0,765676567656766;"03050041";;"NO Top 10%";1;0;"NO 60% - 80%";"NO Bottom 20%"
"Mathematical Reports";21100262314;0,143646408839779;"15823067";;"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";3;0
"Mathematical Research Letters";25055;0,852112676056338;"10732780";;5;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Mathematics Magazine";21100198508;0,05;"0025570X";;"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";10;0
"Mathematika";25097;0,737089201877934;"00255793";;"NO Top 10%";1;0;"NO 60% - 80%";"NO Bottom 20%"
"Mathematische Annalen";25105;1,41608876560333;"00255831";;1;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Mathematische Nachrichten";25107;0,806324110671937;"0025584X";;"NO Top 10%";1;0;"NO 60% - 80%";"NO Bottom 20%"
"Mathematische Semesterberichte";11200153516;0,0434782608695652;"0720728X";;"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";12;0
"Mathematische Zeitschrift";25123;0,978185993111366;"00255874";;3;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Mediterranean Journal of Mathematics";145249;0,576288659793814;"16605446";;"NO Top 10%";2;0;"NO 60% - 80%";"NO Bottom 20%"
"Memoirs of the American Mathematical Society";24671;2,90963855421687;"00659266";;1;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Michigan Mathematical Journal";25148;0,787128712871287;"00262285";;"NO Top 10%";1;0;"NO 60% - 80%";"NO Bottom 20%"
"Milan Journal of Mathematics";100147303;0,868421052631579;"14249286";;5;0;"NO 35% - 60%";"NO 60% - 80%";"NO Bottom 20%"
"Miskolc Mathematical Notes";19900191933;0,195454545454545;"17872405";;"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";2;0
"Monatshefte fur Mathematik";25167;0,714524207011686;"00269255";;"NO Top 10%";1;0;"NO 60% - 80%";"NO Bottom 20%"
"Moscow Mathematical Journal";19900192728;0,775280898876405;"16093321";;"NO Top 10%";1;0;"NO 60% - 80%";"NO Bottom 20%"
"Nagoya Mathematical Journal";25200;0,557251908396947;"00277630";;"NO Top 10%";3;0;"NO 60% - 80%";"NO Bottom 20%"
"New York Journal of Mathematics";25221;0,663608562691132;"10769803";;"NO Top 10%";1;0;"NO 60% - 80%";"NO Bottom 20%"
"Note di Matematica";21100244002;0,231481481481481;"11232536";;"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";1;0
"Notices of the American Mathematical Society";145509;0,25214899713467;"00029920";;"NO Top 10%";"NO 10% - 35%";6;1;0
"Novi Sad Journal of Mathematics";21100197180;0,0979020979020979;"14505444";;"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";5;0
"Open Mathematics";21100369113;0,412393162393162;0;;"NO Top 10%";"NO 10% - 35%";1;0;"NO Bottom 20%"
"Opuscula Mathematica";21100205990;0,495934959349593;"12329274";;"NO Top 10%";9;1;0;"NO Bottom 20%"
"Order";25744;0,436363636363636;"01678094";;"NO Top 10%";"NO 10% - 35%";1;0;"NO Bottom 20%"
"Osaka Journal of Mathematics";25746;0,46031746031746;"00306126";;"NO Top 10%";"NO 10% - 35%";1;0;"NO Bottom 20%"
"Pacific Journal of Mathematics";25761;0,717357910906298;"00308730";;"NO Top 10%";1;0;"NO 60% - 80%";"NO Bottom 20%"
"Panamerican Mathematical Journal";11100153312;0,102941176470588;"10649735";;"NO Top 10%";"NO 10% - 35%";"NO 35% - 60%";4;0
